"","f.mean","f.lower","f.upper","val_ts"
"1",2302.310258969,2116.61167846138,2526.49558094015,2439
"2",2326.16172193357,2161.20506387509,2543.82559633163,2363
"3",2228.11435824917,2064.84092860678,2440.88442328236,2363
"4",2155.57152129507,1977.00520782909,2387.9896183747,2320
"5",2145.50188790337,1976.25827406889,2374.27093911667,2313
"6",2139.92697806507,1973.37406555331,2355.00972756256,2223
"7",2190.26103452888,2001.37924211133,2415.88563315478,2198
"8",2303.87703580345,2115.26719628026,2540.28831133483,2371
"9",2328.83859821676,2159.37756940483,2549.89322669938,2437
"10",2231.69212475252,2059.22141671987,2463.28698543703,2343
"11",2159.64976046107,1978.10957339064,2403.77892225482,2277
"12",2149.84516167765,1970.3331424996,2389.18886147188,2240
"13",2144.282292014,1971.19239692283,2371.97364749449,2268
"14",2194.32080223069,2003.22092377828,2429.51008431745,2348
"15",2307.65311315212,2116.0754145734,2554.75493218213,2497
"16",2332.52228202352,2156.05573427602,2568.47189384258,2316
"17",2235.16477667627,2062.65462116846,2473.15547131957,2308
"18",2162.6370907844,1979.34799110831,2414.90933762197,2285
"19",2152.26440484332,1974.23195741702,2407.71797466187,2291
"20",2146.05345522933,1964.71456483849,2380.41936753309,2330
"21",2195.32591389376,2003.14573293838,2443.13127180678,2353
"22",2308.10383977453,2111.66767967667,2572.39923799715,2533
"23",2332.81035194721,2160.77381319158,2576.68619703797,2492
"24",2235.36474297965,2061.87724432452,2479.12237355193,2365
"25",2162.65600266022,1975.16843200785,2430.43938662564,2328
"26",2152.18270634336,1967.32095949778,2410.61997333031,2298
"27",2145.92587856626,1970.41610961982,2390.06018527833,2304
"28",2195.14115514505,1997.60859122407,2454.88357124285,2401
"29",2308.14956184521,2112.44140485838,2575.33160934299,2550
"30",2333.51515216923,2149.29111841846,2584.45917037056,2561
"31",2236.8020651944,2055.17986645817,2487.4253224972,2319
"32",2164.69698486704,1974.96012748416,2430.267356559,2269
"33",2154.83570504806,1963.78607129989,2415.12777566783,2294
"34",2149.13893668435,1953.07014173869,2393.69649852865,2279
"35",2198.76607594573,1994.91897927407,2450.36364426554,2409
"36",2312.31249493686,2102.27210230948,2576.59737334809,2686
"37",2338.46435647856,2145.85834362557,2583.80246359303,2579
"38",2242.41561094388,2045.36685761914,2482.93533472505,2501
"39",2170.64222177812,1962.37705686507,2429.93212641174,2602
"40",2160.91703428657,1955.71248788367,2414.02039054289,2382
"41",2155.10799620586,1954.95410336452,2384.59274166982,2354
"42",2204.29138279099,1978.75407080312,2444.3615323264,2511
"43",2317.3571302126,2088.19467987276,2566.40125210385,2742
"44",2343.14032208528,2128.75654017497,2569.70250717758,2713
"45",2246.49697438613,2031.93091679819,2477.94529940465,2972
"46",2173.72856118195,1946.98704169637,2419.67878993916,2543
"47",2162.78692955296,1938.26572468816,2399.12299583628,2300
"48",2155.52846457971,1922.27531864443,2376.52851413592,2283
"49",2202.98560738897,1961.36164200302,2425.26084855947,2309
"50",2314.38359402598,2072.35821213354,2543.49089267171,2379
"51",2338.74543983382,2109.62779565958,2557.0781796895,2346
"52",2240.62045109818,2005.84303904392,2459.0235268816,2279
"53",2166.16268477844,1929.2455747934,2398.55280367214,2235
"54",2153.52593778149,1920.67495374098,2384.26864615611,2310
"55",2144.5693958449,1913.74317387971,2353.80337615,2131
"56",2190.28734989884,1941.20929896469,2399.68238417634,2206
"57",2300.23986448145,2044.80801333768,2522.03942794587,2265
"58",2323.62959556325,2088.86618896898,2530.69109955807,2353
"59",2224.68130672564,1991.91742415581,2432.55164134432,2393
"60",2149.37954867551,1901.24523825459,2378.03182066155,2241
"61",2136.05127512588,1893.77438737887,2355.89082335654,2148
"62",2126.52308238722,1884.59350831817,2327.50464846068,2283
"63",2171.71282954645,1912.56430018338,2376.22370684187,2195
"64",2281.47675071395,2023.59775244972,2489.74473572056,2389
"65",2305.15478328987,2066.87999298832,2506.37176229912,2350
"66",2206.60637078807,1960.40384445947,2408.66785271912,2356
"67",2131.61063764508,1881.03534431241,2346.28406327962,2242
"68",2118.63398684943,1876.79756203477,2327.06953554232,2247
"69",2109.43823828688,1865.92756119424,2310.94919436483,2299
"70",2154.84096833633,1893.09528187403,2345.09555304302,2313
"71",2264.97792567195,1999.58130214811,2462.13198482153,2292
"72",2289.31430003583,2041.42646799505,2486.66307488103,2342
"73",2191.34049412796,1946.28467647299,2384.10117343216,2284
"74",2116.63453874179,1858.32552676909,2319.17525212694,2169
"75",2103.81219670181,1850.80040469011,2305.24838212361,2177
"76",2094.58615622332,1848.69319727529,2284.55216612733,2258
"77",2139.6970577479,1871.44790326882,2330.84685498175,2231
"78",2249.58795208295,1978.01737258543,2445.9469565401,2373
"79",2273.87945582716,2027.35039183013,2461.85900409601,2358
"80",2175.72655500893,1926.88176879354,2366.72005367837,2253
"81",2100.54279401419,1840.08812334811,2304.35514096039,2203
"82",2087.12920055868,1840.96803232037,2286.6515178684,2192
"83",2077.18358969714,1831.7017191599,2267.34007742106,2301
"84",2121.40222780355,1856.1402357765,2315.20305346428,2292
"85",2230.56534465637,1968.26633636936,2430.3780144823,2438
"86",2254.47442908409,2012.23521580041,2450.38459818167,2374
"87",2155.96798572462,1915.62616424992,2348.91344541654,2303
"88",2080.30967299155,1833.67602083354,2287.24841912483,2104
"89",2066.49567616492,1817.57586899458,2280.9812701269,2200
"90",2056.21069782398,1818.88763756189,2252.62746897674,2317
"91",2100.10106643501,1852.27517552606,2294.57754782208,2313
"92",2209.27350328866,1958.51424885403,2424.07049672946,2467
"93",2233.69316132756,1997.86921499508,2441.06540445547,2559
"94",2135.8595880478,1908.10227347506,2330.78678039806,2414
"95",2060.8589783993,1827.44126029563,2277.80758896289,2257
"96",2047.85106478982,1818.54235617938,2272.93383604979,2221
"97",2038.47231558474,1807.82551066973,2240.70317301513,2223
"98",2083.28169945278,1848.48386857872,2288.64329765303,2301
"99",2193.67517252196,1961.16212498858,2411.32620899602,2331
"100",2219.74400310647,2000.57163695353,2432.98995371463,2331
"101",2123.61024197274,1908.76304361996,2325.69456152716,2249
"102",2050.15198780644,1821.56102938158,2265.31438851102,2194
"103",2038.66587410257,1808.4836433291,2263.05494097595,2233
"104",2030.71378853534,1812.21844825974,2240.16764566799,2082
"105",2076.74881022631,1848.69421558819,2281.72084998191,2194
"106",2188.44854097729,1960.63465940176,2400.75264371609,2428
"107",2216.02581126648,1992.93895105476,2431.26508535009,2613
"108",2121.229168606,1908.72688651051,2318.16019895101,2482
"109",2048.74240075867,1830.60655423532,2260.06749440015,2284
"110",2038.01880200528,1817.32419114014,2256.46697756439,2314
"111",2030.56914393107,1806.70584968862,2231.99547090985,2220
"112",2076.77315877238,1852.74756487935,2278.27082904297,2274
"113",2188.62635730873,1968.64317796972,2402.25873728402,2450
"114",2216.50038863574,2009.15027752138,2418.05274967724,2455
"115",2121.80894245528,1913.33797910627,2314.56815486475,2334
"116",2049.0842242981,1829.56553481254,2260.54354982725,2313
"117",2037.97651966078,1819.93973725833,2248.0809589627,2336
"118",2029.98297020975,1823.74671064575,2224.79195058458,2361
"119",2075.44164674628,1865.79304010151,2274.29066376815,2316
"120",2186.69332948294,1970.02267730255,2392.81331949224,2179
"121",2214.28929057836,2005.89371188637,2405.77110792133,2174
"122",2119.32404176317,1922.91813627857,2315.63047405196,2250
"123",2046.18417851443,1849.3348031047,2252.41808880266,2175
"124",2034.71535463754,1828.56103564567,2243.61762910443,2249
"125",2026.39171282464,1812.21144297815,2213.28622746516,2212
"126",2071.49353299294,1870.2351767914,2259.26409468669,2222
"127",2182.68361381098,1985.7123224005,2384.77155641413,2376
"128",2210.6670846392,2018.09286106709,2395.57381300333,2381
"129",2116.18686797604,1920.31965533909,2298.19740304496,2274
"130",2043.44915883598,1845.59937762317,2240.14082840428,2152
"131",2032.46050318805,1823.66447994681,2233.07884756756,2128
"132",2024.63718513934,1813.81733854243,2200.63967313864,2148
"133",2070.16471895674,1877.20964226548,2253.6974127575,2238
"134",2181.99427750988,1980.49945958297,2368.14325489866,2334
"135",2210.95509249486,2006.65598804668,2384.22117737534,2340
"136",2117.41415061108,1923.86481312688,2286.29502576224,2326
"137",2045.37757233453,1854.30003525876,2230.25725098533,2362
"138",2034.99929758738,1815.01723815039,2214.01216831548,2199
"139",2027.62853888585,1800.94259348429,2192.28119751654,2206
"140",2073.35423675788,1868.54323604959,2230.26622890925,2215
"141",2185.42091193075,1975.60863876146,2342.43824503242,2419
"142",2214.79261003606,1995.39017173187,2372.72054559788,2311
"143",2121.47637636839,1905.4778225479,2284.14125913732,2195
"144",2049.2998437963,1844.70430020228,2212.02069748868,2120
"145",2038.58975882482,1812.17580090098,2201.7861443246,2123
"146",2030.65810571604,1792.36859899603,2189.14291636098,2086
"147",2075.52871765329,1853.34715313249,2227.65327106198,2167
"148",2186.77178302832,1963.62138048637,2331.01440591696,2320
"149",2215.51948597525,1977.21878715972,2370.14940625084,2289
"150",2121.45368970405,1883.47240174538,2277.61814843929,2156
"151",2048.25737527092,1827.31878508832,2197.42853108988,2044
"152",2036.46105863706,1799.47766943348,2194.83801192666,2118
"153",2027.36494931856,1779.14601018851,2192.83833033693,2265
"154",2070.94836697695,1839.34893758278,2225.34334947955,2215
"155",2181.12434256568,1952.77673232152,2326.05812509542,2361
"156",2209.20443546916,1961.88823471518,2371.93732690001,2141
"157",2114.54823730689,1863.76463803835,2276.7031177062,2056
"158",2040.69366719564,1811.01625567409,2205.72970757739,2045
"159",2028.36766875863,1781.14891812973,2197.70410151517,2109
"160",2018.84246244013,1764.63786830929,2187.70746160414,2121
"161",2062.03291773122,1829.83631240886,2222.18221930706,2096
"162",2172.16914638963,1938.20583685209,2324.37474942761,2245
