"","f.mean","f.lower","f.upper","val_ts"
"1",2355.96794936653,2142.91058013964,2616.62154274549,2167
"2",2380.41054411461,2175.9791443944,2632.58222809861,2210
"3",2277.33515539683,2067.48646346679,2540.97629161468,2238
"4",2204.09493958996,1977.35683294407,2470.2072906491,2057
"5",2199.00659671124,1960.03238287281,2470.56288180714,2082
"6",2196.51202102402,1965.63827369447,2461.37412341319,2012
"7",2248.96797086551,2023.19181392288,2531.77585739674,2051
"8",2366.61109374294,2127.43641970853,2643.18434466782,2197
"9",2390.97619056813,2161.09574865696,2656.20891346392,2193
"10",2287.56547564688,2059.88428865502,2562.3502818529,2229
"11",2213.60700803539,1960.21653994737,2493.65770545489,2184
"12",2207.67031948402,1934.43736595568,2489.68734313595,2030
"13",2204.12199457826,1956.20733827179,2488.80544832202,2024
"14",2255.25619930376,2003.5692557264,2557.90475282871,2041
"15",2371.74388133264,2108.89213026319,2669.14449870151,2190
"16",2395.29141148666,2145.94367250894,2683.03468821582,2270
"17",2291.00063068262,2054.70568887598,2589.44919581916,2178
"18",2216.00105855729,1956.28935997885,2520.29845180604,2064
"19",2209.13396912647,1935.26524409604,2518.26099710786,1934
"20",2204.69160635978,1943.46033794962,2513.70744033727,2101
"21",2254.90561706197,1997.84063338396,2587.82505798248,2165
"22",2370.87875082617,2095.93710869893,2685.98840257373,2295
"23",2394.47152932939,2123.22059420897,2702.51557231404,2205
"24",2290.34624582938,2047.37344293451,2611.25162569464,2094
"25",2215.4950582418,1942.19396279353,2541.74435637699,2077
"26",2208.99751544106,1920.39173043334,2550.17596056359,1936
"27",2205.02990759062,1936.59493131869,2549.23257658882,2161
"28",2255.70673720339,2002.01611516991,2611.96723049011,2039
"29",2372.51774025697,2106.19633793371,2714.91385418551,2252
"30",2397.43440633903,2130.79042311465,2743.82911865654,2149
"31",2294.6345267048,2038.81256379961,2641.23505144181,2129
"32",2220.93573136618,1949.71924737328,2578.57764808671,2090
"33",2215.62466147495,1923.74246072412,2579.68888287215,2082
"34",2212.72836452461,1928.30934180995,2580.27428926256,2141
"35",2264.22478948376,2001.74297710005,2636.88387357235,2058
"36",2381.9807595697,2110.3968286681,2750.84287915423,2287
"37",2408.07428939293,2127.48265603429,2782.35382572001,2105
"38",2306.19471891187,2041.89204786932,2677.09408277099,2200
"39",2233.00383178929,1965.41658295724,2612.90788037913,2231
"40",2228.02410301217,1946.65146922395,2611.44759574361,2103
"41",2225.15869191316,1943.14837759638,2610.8713487982,2027
"42",2276.27573837269,1998.64517114333,2659.47536481263,2162
"43",2393.67037010504,2114.09103045466,2777.47203796321,2394
"44",2419.57484643588,2126.12456843063,2807.06306089367,2363
"45",2317.2254643955,2031.32322855913,2700.77622861236,2340
"46",2243.17604470714,1954.52898220429,2641.7508909248,2152
"47",2237.23256510752,1939.71288988183,2641.97819276101,1986
"48",2233.20124802527,1944.25681701005,2641.31435901715,2063
"49",2282.8780879924,2007.09523762737,2685.39982341498,2113
"50",2399.02484954896,2128.43158083778,2800.76857617546,2274
"51",2424.04197944557,2153.16014095502,2830.75728879867,2066
"52",2320.72715494517,2045.31308021284,2728.38710494416,2143
"53",2245.54092766694,1960.62507602229,2669.88483478659,2069
"54",2238.58061517047,1944.11193485423,2669.16446570365,2027
"55",2233.5470342294,1941.91830128875,2667.13633032648,2081
"56",2282.15035013453,2007.70310912717,2712.88589759879,2108
"57",2397.60277453835,2120.45741493043,2831.49061290737,2255
"58",2422.44585452127,2158.35057959322,2863.3114113275,2243
"59",2319.00245771723,2061.64577938604,2761.490178615,2133
"60",2243.61154204187,1979.60977766895,2698.15036864362,2151
"61",2236.61528162262,1967.86245458333,2691.00202596536,2136
"62",2231.56924231681,1967.19488872005,2685.38576955705,2105
"63",2280.05583305097,2032.19043842938,2744.09646326243,2156
"64",2395.69890325186,2132.40181162366,2860.01353666257,2306
"65",2421.14867180915,2166.14712379068,2880.44898262612,2423
"66",2318.22323229422,2072.7435261359,2786.13985371468,2290
"67",2243.10690775214,1984.15654298435,2713.0492826252,2237
"68",2236.37508643713,1969.86627552506,2705.70853754475,2175
"69",2231.41735447262,1975.17464690354,2695.07902871652,2143
"70",2279.68984554605,2046.37831419294,2757.12070778916,2243
"71",2395.23138981156,2148.50629862722,2869.72199529409,2464
"72",2420.8062769939,2171.95250962945,2889.31081785797,2428
"73",2317.73883570074,2080.18935152047,2791.37999901066,2287
"74",2242.09143745338,1989.11833388001,2714.51442411299,2178
"75",2234.69936723438,1961.42241860755,2711.85585535325,2227
"76",2228.81040872355,1970.82930141492,2695.2448349523,2201
"77",2275.78416558745,2037.10138544412,2744.50769723196,2174
