Actual_dt,Actual_Value,ORA
2013-12-30,220,Cornwall
2013-12-30,129,Gloucestershire
2013-12-30,255,Wiltshire
2013-12-30,2042,Trust
2013-12-30,336,Dorset
2013-12-30,502,Devon
2013-12-30,415,BNSSG
2013-12-30,183,Somerset
2013-12-31,420,BNSSG
2013-12-31,468,Devon
2013-12-31,1996,Trust
2013-12-31,260,Wiltshire
2013-12-31,236,Cornwall
2013-12-31,128,Gloucestershire
2013-12-31,302,Dorset
2013-12-31,180,Somerset
2014-01-01,157,Gloucestershire
2014-01-01,392,Dorset
2014-01-01,341,Cornwall
2014-01-01,351,Wiltshire
2014-01-01,566,Devon
2014-01-01,549,BNSSG
2014-01-01,213,Somerset
2014-01-01,2570,Trust
2014-01-02,258,Wiltshire
2014-01-02,450,BNSSG
2014-01-02,499,Devon
2014-01-02,115,Gloucestershire
2014-01-02,301,Dorset
2014-01-02,167,Somerset
2014-01-02,2013,Trust
2014-01-02,218,Cornwall
2014-01-03,2056,Trust
2014-01-03,229,Cornwall
2014-01-03,195,Somerset
2014-01-03,135,Gloucestershire
2014-01-03,419,BNSSG
2014-01-03,269,Wiltshire
2014-01-03,503,Devon
2014-01-03,304,Dorset
2014-01-04,449,Devon
2014-01-04,291,Wiltshire
2014-01-04,2046,Trust
2014-01-04,188,Somerset
2014-01-04,335,Dorset
2014-01-04,225,Cornwall
2014-01-04,437,BNSSG
2014-01-04,120,Gloucestershire
2014-01-05,216,Cornwall
2014-01-05,150,Gloucestershire
2014-01-05,246,Wiltshire
2014-01-05,321,Dorset
2014-01-05,459,Devon
2014-01-05,2022,Trust
2014-01-05,431,BNSSG
2014-01-05,195,Somerset
2014-01-06,2044,Trust
2014-01-06,427,BNSSG
2014-01-06,493,Devon
2014-01-06,180,Somerset
2014-01-06,317,Dorset
2014-01-06,232,Cornwall
2014-01-06,136,Gloucestershire
2014-01-06,254,Wiltshire
2014-01-07,1902,Trust
2014-01-07,469,Devon
2014-01-07,283,Dorset
2014-01-07,176,Somerset
2014-01-07,407,BNSSG
2014-01-07,220,Cornwall
2014-01-07,111,Gloucestershire
2014-01-07,233,Wiltshire
2014-01-08,292,Dorset
2014-01-08,123,Gloucestershire
2014-01-08,228,Cornwall
2014-01-08,439,BNSSG
2014-01-08,407,Devon
2014-01-08,1915,Trust
2014-01-08,174,Somerset
2014-01-08,249,Wiltshire
2014-01-09,171,Somerset
2014-01-09,413,BNSSG
2014-01-09,2026,Trust
2014-01-09,117,Gloucestershire
2014-01-09,220,Cornwall
2014-01-09,346,Dorset
2014-01-09,503,Devon
2014-01-09,252,Wiltshire
2014-01-10,468,Devon
2014-01-10,145,Gloucestershire
2014-01-10,307,Dorset
2014-01-10,220,Cornwall
2014-01-10,390,BNSSG
2014-01-10,269,Wiltshire
2014-01-10,1973,Trust
2014-01-10,173,Somerset
2014-01-11,2030,Trust
2014-01-11,162,Somerset
2014-01-11,130,Gloucestershire
2014-01-11,272,Wiltshire
2014-01-11,211,Cornwall
2014-01-11,459,Devon
2014-01-11,323,Dorset
2014-01-11,472,BNSSG
2014-01-12,292,Dorset
2014-01-12,259,Wiltshire
2014-01-12,425,BNSSG
2014-01-12,153,Somerset
2014-01-12,1878,Trust
2014-01-12,438,Devon
2014-01-12,187,Cornwall
2014-01-12,122,Gloucestershire
2014-01-13,332,Dorset
2014-01-13,208,Cornwall
2014-01-13,418,BNSSG
2014-01-13,1950,Trust
2014-01-13,260,Wiltshire
2014-01-13,169,Somerset
2014-01-13,428,Devon
2014-01-13,133,Gloucestershire
2014-01-14,209,Cornwall
2014-01-14,460,Devon
2014-01-14,2021,Trust
2014-01-14,181,Somerset
2014-01-14,130,Gloucestershire
2014-01-14,276,Wiltshire
2014-01-14,433,BNSSG
2014-01-14,329,Dorset
2014-01-15,413,BNSSG
2014-01-15,266,Wiltshire
2014-01-15,328,Dorset
2014-01-15,1956,Trust
2014-01-15,124,Gloucestershire
2014-01-15,181,Somerset
2014-01-15,221,Cornwall
2014-01-15,422,Devon
2014-01-16,183,Somerset
2014-01-16,122,Gloucestershire
2014-01-16,332,Dorset
2014-01-16,2006,Trust
2014-01-16,477,Devon
2014-01-16,259,Wiltshire
2014-01-16,206,Cornwall
2014-01-16,426,BNSSG
2014-01-17,176,Somerset
2014-01-17,315,Dorset
2014-01-17,427,BNSSG
2014-01-17,219,Cornwall
2014-01-17,483,Devon
2014-01-17,2015,Trust
2014-01-17,259,Wiltshire
2014-01-17,136,Gloucestershire
2014-01-18,456,BNSSG
2014-01-18,227,Cornwall
2014-01-18,145,Gloucestershire
2014-01-18,2082,Trust
2014-01-18,292,Wiltshire
2014-01-18,439,Devon
2014-01-18,195,Somerset
2014-01-18,327,Dorset
2014-01-19,220,Cornwall
2014-01-19,1998,Trust
2014-01-19,323,Dorset
2014-01-19,409,Devon
2014-01-19,435,BNSSG
2014-01-19,293,Wiltshire
2014-01-19,101,Gloucestershire
2014-01-19,213,Somerset
2014-01-20,317,Dorset
2014-01-20,430,BNSSG
2014-01-20,185,Somerset
2014-01-20,252,Wiltshire
2014-01-20,1999,Trust
2014-01-20,461,Devon
2014-01-20,122,Gloucestershire
2014-01-20,232,Cornwall
2014-01-21,107,Gloucestershire
2014-01-21,197,Somerset
2014-01-21,428,Devon
2014-01-21,387,BNSSG
2014-01-21,196,Cornwall
2014-01-21,265,Wiltshire
2014-01-21,339,Dorset
2014-01-21,1923,Trust
2014-01-22,438,Devon
2014-01-22,270,Wiltshire
2014-01-22,1955,Trust
2014-01-22,183,Cornwall
2014-01-22,129,Gloucestershire
2014-01-22,313,Dorset
2014-01-22,190,Somerset
2014-01-22,430,BNSSG
2014-01-23,425,Devon
2014-01-23,166,Somerset
2014-01-23,437,BNSSG
2014-01-23,1955,Trust
2014-01-23,292,Wiltshire
2014-01-23,123,Gloucestershire
2014-01-23,313,Dorset
2014-01-23,197,Cornwall
2014-01-24,422,BNSSG
2014-01-24,115,Gloucestershire
2014-01-24,251,Wiltshire
2014-01-24,308,Dorset
2014-01-24,507,Devon
2014-01-24,202,Somerset
2014-01-24,217,Cornwall
2014-01-24,2027,Trust
2014-01-25,231,Cornwall
2014-01-25,264,Wiltshire
2014-01-25,322,Dorset
2014-01-25,452,BNSSG
2014-01-25,135,Gloucestershire
2014-01-25,173,Somerset
2014-01-25,2046,Trust
2014-01-25,467,Devon
2014-01-26,256,Wiltshire
2014-01-26,340,Dorset
2014-01-26,144,Gloucestershire
2014-01-26,472,Devon
2014-01-26,2087,Trust
2014-01-26,465,BNSSG
2014-01-26,183,Somerset
2014-01-26,223,Cornwall
2014-01-27,336,Dorset
2014-01-27,108,Gloucestershire
2014-01-27,172,Somerset
2014-01-27,1963,Trust
2014-01-27,211,Cornwall
2014-01-27,418,Devon
2014-01-27,274,Wiltshire
2014-01-27,441,BNSSG
2014-01-28,169,Somerset
2014-01-28,403,BNSSG
2014-01-28,1934,Trust
2014-01-28,292,Dorset
2014-01-28,115,Gloucestershire
2014-01-28,429,Devon
2014-01-28,283,Wiltshire
2014-01-28,242,Cornwall
2014-01-29,453,Devon
2014-01-29,170,Somerset
2014-01-29,105,Gloucestershire
2014-01-29,439,BNSSG
2014-01-29,246,Cornwall
2014-01-29,1966,Trust
2014-01-29,318,Dorset
2014-01-29,232,Wiltshire
2014-01-30,265,Wiltshire
2014-01-30,176,Somerset
2014-01-30,469,Devon
2014-01-30,2017,Trust
2014-01-30,433,BNSSG
2014-01-30,201,Cornwall
2014-01-30,140,Gloucestershire
2014-01-30,333,Dorset
2014-01-31,276,Wiltshire
2014-01-31,140,Gloucestershire
2014-01-31,1992,Trust
2014-01-31,459,Devon
2014-01-31,420,BNSSG
2014-01-31,309,Dorset
2014-01-31,179,Somerset
2014-01-31,207,Cornwall
2014-02-01,464,Devon
2014-02-01,204,Cornwall
2014-02-01,260,Wiltshire
2014-02-01,205,Somerset
2014-02-01,2095,Trust
2014-02-01,479,BNSSG
2014-02-01,315,Dorset
2014-02-01,167,Gloucestershire
2014-02-02,481,BNSSG
2014-02-02,292,Wiltshire
2014-02-02,132,Gloucestershire
2014-02-02,187,Somerset
2014-02-02,471,Devon
2014-02-02,234,Cornwall
2014-02-02,367,Dorset
2014-02-02,2165,Trust
2014-02-03,463,Devon
2014-02-03,2064,Trust
2014-02-03,358,Dorset
2014-02-03,117,Gloucestershire
2014-02-03,262,Wiltshire
2014-02-03,432,BNSSG
2014-02-03,203,Somerset
2014-02-03,229,Cornwall
2014-02-04,277,Dorset
2014-02-04,197,Somerset
2014-02-04,212,Cornwall
2014-02-04,420,BNSSG
2014-02-04,158,Gloucestershire
2014-02-04,474,Devon
2014-02-04,1983,Trust
2014-02-04,245,Wiltshire
2014-02-05,176,Somerset
2014-02-05,208,Cornwall
2014-02-05,130,Gloucestershire
2014-02-05,272,Wiltshire
2014-02-05,464,Devon
2014-02-05,310,Dorset
2014-02-05,397,BNSSG
2014-02-05,1959,Trust
2014-02-06,187,Cornwall
2014-02-06,126,Gloucestershire
2014-02-06,175,Somerset
2014-02-06,441,BNSSG
2014-02-06,1963,Trust
2014-02-06,304,Dorset
2014-02-06,473,Devon
2014-02-06,256,Wiltshire
2014-02-07,351,Dorset
2014-02-07,120,Gloucestershire
2014-02-07,253,Cornwall
2014-02-07,199,Somerset
2014-02-07,2154,Trust
2014-02-07,297,Wiltshire
2014-02-07,431,BNSSG
2014-02-07,501,Devon
2014-02-08,292,Wiltshire
2014-02-08,242,Cornwall
2014-02-08,498,BNSSG
2014-02-08,149,Gloucestershire
2014-02-08,322,Dorset
2014-02-08,2183,Trust
2014-02-08,487,Devon
2014-02-08,192,Somerset
2014-02-09,445,BNSSG
2014-02-09,205,Somerset
2014-02-09,466,Devon
2014-02-09,257,Cornwall
2014-02-09,2112,Trust
2014-02-09,126,Gloucestershire
2014-02-09,305,Dorset
2014-02-09,307,Wiltshire
2014-02-10,479,Devon
2014-02-10,2140,Trust
2014-02-10,337,Dorset
2014-02-10,232,Cornwall
2014-02-10,306,Wiltshire
2014-02-10,202,Somerset
2014-02-10,451,BNSSG
2014-02-10,132,Gloucestershire
2014-02-11,473,Devon
2014-02-11,1950,Trust
2014-02-11,167,Somerset
2014-02-11,267,Wiltshire
2014-02-11,219,Cornwall
2014-02-11,270,Dorset
2014-02-11,436,BNSSG
2014-02-11,116,Gloucestershire
2014-02-12,290,Dorset
2014-02-12,409,BNSSG
2014-02-12,1938,Trust
2014-02-12,176,Somerset
2014-02-12,105,Gloucestershire
2014-02-12,255,Wiltshire
2014-02-12,483,Devon
2014-02-12,218,Cornwall
2014-02-13,424,BNSSG
2014-02-13,324,Dorset
2014-02-13,2052,Trust
2014-02-13,129,Gloucestershire
2014-02-13,475,Devon
2014-02-13,183,Somerset
2014-02-13,286,Wiltshire
2014-02-13,228,Cornwall
2014-02-14,212,Cornwall
2014-02-14,119,Gloucestershire
2014-02-14,328,Dorset
2014-02-14,448,BNSSG
2014-02-14,2043,Trust
2014-02-14,468,Devon
2014-02-14,269,Wiltshire
2014-02-14,197,Somerset
2014-02-15,238,Cornwall
2014-02-15,472,Devon
2014-02-15,162,Gloucestershire
2014-02-15,2140,Trust
2014-02-15,461,BNSSG
2014-02-15,285,Wiltshire
2014-02-15,340,Dorset
2014-02-15,180,Somerset
2014-02-16,147,Gloucestershire
2014-02-16,236,Cornwall
2014-02-16,502,Devon
2014-02-16,349,Dorset
2014-02-16,501,BNSSG
2014-02-16,305,Wiltshire
2014-02-16,194,Somerset
2014-02-16,2240,Trust
2014-02-17,113,Gloucestershire
2014-02-17,155,Somerset
2014-02-17,2034,Trust
2014-02-17,456,BNSSG
2014-02-17,256,Cornwall
2014-02-17,305,Dorset
2014-02-17,480,Devon
2014-02-17,267,Wiltshire
2014-02-18,479,Devon
2014-02-18,200,Cornwall
2014-02-18,269,Wiltshire
2014-02-18,191,Somerset
2014-02-18,405,BNSSG
2014-02-18,313,Dorset
2014-02-18,1972,Trust
2014-02-18,114,Gloucestershire
2014-02-19,299,Dorset
2014-02-19,167,Somerset
2014-02-19,143,Gloucestershire
2014-02-19,270,Wiltshire
2014-02-19,389,BNSSG
2014-02-19,492,Devon
2014-02-19,199,Cornwall
2014-02-19,1960,Trust
2014-02-20,132,Gloucestershire
2014-02-20,1996,Trust
2014-02-20,317,Dorset
2014-02-20,436,Devon
2014-02-20,187,Somerset
2014-02-20,283,Wiltshire
2014-02-20,212,Cornwall
2014-02-20,428,BNSSG
2014-02-21,446,BNSSG
2014-02-21,126,Gloucestershire
2014-02-21,200,Somerset
2014-02-21,2083,Trust
2014-02-21,337,Dorset
2014-02-21,232,Wiltshire
2014-02-21,218,Cornwall
2014-02-21,522,Devon
2014-02-22,172,Somerset
2014-02-22,268,Wiltshire
2014-02-22,332,Dorset
2014-02-22,2122,Trust
2014-02-22,220,Cornwall
2014-02-22,482,BNSSG
2014-02-22,490,Devon
2014-02-22,157,Gloucestershire
2014-02-23,337,Dorset
2014-02-23,243,Cornwall
2014-02-23,2162,Trust
2014-02-23,465,BNSSG
2014-02-23,514,Devon
2014-02-23,141,Gloucestershire
2014-02-23,265,Wiltshire
2014-02-23,196,Somerset
2014-02-24,2109,Trust
2014-02-24,330,Dorset
2014-02-24,512,Devon
2014-02-24,224,Cornwall
2014-02-24,122,Gloucestershire
2014-02-24,459,BNSSG
2014-02-24,277,Wiltshire
2014-02-24,182,Somerset
2014-02-25,300,Dorset
2014-02-25,195,Cornwall
2014-02-25,162,Somerset
2014-02-25,244,Wiltshire
2014-02-25,1902,Trust
2014-02-25,408,BNSSG
2014-02-25,464,Devon
2014-02-25,128,Gloucestershire
2014-02-26,176,Somerset
2014-02-26,444,Devon
2014-02-26,395,BNSSG
2014-02-26,1911,Trust
2014-02-26,183,Cornwall
2014-02-26,134,Gloucestershire
2014-02-26,255,Wiltshire
2014-02-26,319,Dorset
2014-02-27,207,Cornwall
2014-02-27,123,Gloucestershire
2014-02-27,426,BNSSG
2014-02-27,1955,Trust
2014-02-27,196,Somerset
2014-02-27,439,Devon
2014-02-27,252,Wiltshire
2014-02-27,311,Dorset
2014-02-28,407,BNSSG
2014-02-28,226,Cornwall
2014-02-28,316,Dorset
2014-02-28,274,Wiltshire
